1014 301409 301841 303560 302017 301198 298739 301047 300776 303307 300602 300649 300008 301008 300427 303015 300165 300560 298821 300104 300990 303404 299684 299323 300770 300447 300149 302057 299864 300400 298946 299588 299893 303943 299749 299574 301306 300250 300364 304129 299780 300246 298491 300806 299865 304032 299904 299937 301276 300502 301086 303308 300951 300907 299326 300848 301711 303781 301547 301650 299772 301817 301331 303142 301221 301692 298760 302339 301748 305003 300591 301505 299220 296879 
1020 671010 670777 671070 671681 671985 668442 670886 671166 672386 670789 670980 660274 671621 670337 671909 670898 671846 668996 670289 671022 672655 670679 670569 663210 671364 671132 671258 672652 671992 667841 671962 670839 675052 671304 670871 665354 672426 671029 671220 671615 671084 667767 670292 670426 673388 670233 669766 668143 670615 669923 671504 670619 670450 669354 670153 668984 673733 668698 669324 669218 668880 670390 671175 670366 670470 669191 669146 669352 673261 668824 668312 671650 661207 
1029 405535 405490 405306 404800 405383 404283 405275 406751 405758 405674 405326 400900 405353 404032 405872 405122 405271 403328 404874 404902 405634 405102 404571 403134 404734 404498 405852 404875 404018 402871 404040 403637 405726 402640 403478 404293 404511 403502 404720 404666 403255 404163 405819 403816 407051 404040 404310 404289 403943 403879 406285 403953 403988 403723 403508 404006 405595 404242 404335 405240 405148 405718 405183 404021 404959 403149 404189 405007 406417 405472 405009 403892 399087 
1030 218048 218419 218625 218041 217427 216533 217449 218592 218771 217697 217477 215729 217809 217874 218198 218653 218115 217082 217432 217826 218314 217981 218298 215497 218839 217933 218024 217891 217474 217293 217852 218011 220055 217459 216887 217086 217246 218302 218648 217731 217691 217088 217193 216423 218451 216715 216509 217372 217182 217565 218030 217417 217084 217737 216931 217524 219451 216837 217178 217876 217006 217191 218906 217630 217929 216742 217182 217341 219098 217680 217242 217608 214691 
1031 1190490 1191130 1192940 1189990 1188710 1191790 1187830 1188020 1195590 1190470 1191090 1189760 1190670 1188900 1192180 1188840 1188290 1190810 1187370 1188190 1194230 1189500 1190670 1190060 1192320 1191980 1192770 1191200 1190460 1191790 1188980 1190410 1195080 1190110 1189180 1190850 1191950 1192020 1192870 1192760 1191490 1191120 1192010 1191810 1195140 1191960 1194130 1185500 1192960 1193190 1193040 1192350 1191680 1190670 1190930 1191230 1193640 1192160 1192300 1182140 1192420 1191870 1192620 1193230 1192210 1191360 1194120 1192150 1194620 1193870 1191190 1180200 1174820 
1032 1181690 1181470 1182280 1181350 1182050 1177600 1180830 1181360 1183600 1180630 1181480 1175780 1180950 1180500 1183850 1179300 1180850 1178040 1180210 1180420 1181880 1178710 1179180 1179280 1178590 1178840 1183750 1178690 1178960 1177290 1178290 1179030 1184010 1178910 1178520 1180890 1177810 1177560 1182540 1178730 1177660 1177640 1176570 1177400 1184620 1178680 1179770 1180690 1179560 1179830 1182740 1179860 1180690 1176340 1180340 1180430 1184920 1181810 1180970 1179520 1180530 1181010 1182160 1181510 1181640 1177430 1181720 1181680 1184580 1181820 1181960 1175490 1164070 
1033 1497980 1499050 1503550 1499990 1499990 1499960 1499260 1499310 1506910 1498810 1497010 1500740 1497720 1497150 1501480 1497320 1500540 1499660 1500510 1501730 1506770 1501010 1499200 1500260 1498920 1499740 1502210 1499780 1499040 1500010 1500940 1502250 1507310 1503100 1502830 1498680 1501400 1502440 1502180 1501750 1502540 1499940 1502900 1501970 1506030 1500880 1501360 1494550 1500540 1501430 1501780 1499450 1500920 1498240 1500810 1502470 1504660 1504560 1503590 1490930 1502390 1501450 1502100 1501360 1499980 1499200 1501810 1500970 1505000 1501250 1502010 1484780 1480140 
1034 2381920 2385210 2384860 2383290 2384150 2381090 2385920 2385150 2389930 2385490 2382060 2368410 2381730 2382170 2386260 2382130 2382060 2382190 2381800 2381150 2388730 2382520 2380180 2376320 2380820 2378520 2385370 2377470 2378630 2382040 2380780 2379970 2390760 2382280 2379850 2382570 2379830 2376510 2385350 2378990 2378450 2380520 2379130 2381710 2390790 2382230 2383250 2381970 2380630 2379860 2383960 2379550 2379640 2381320 2381110 2381470 2390090 2383610 2384780 2378870 2383760 2384550 2384240 2385110 2382870 2380980 2383930 2384650 2390200 2385530 2384010 2374300 2349750 
1035 127555 128014 127927 127450 127231 126484 128086 127944 127901 127541 127583 126123 127382 127172 127325 127397 127461 127580 127363 128204 128158 126992 126971 128004 127002 126932 127324 127479 127187 127128 126942 127057 127697 126786 127483 127429 126823 127679 126792 127094 127443 127314 127408 127789 127330 127147 127374 127358 127052 127141 127417 127572 126938 127092 127681 128131 127824 126668 127701 126921 127763 127286 127485 127572 127467 127186 127548 127806 128828 127394 127509 126480 125648 
1036 1027550 1028960 1029980 1028440 1028610 1025360 1028560 1028630 1032040 1030410 1030680 1015210 1030000 1030020 1031010 1029540 1029180 1026700 1029950 1029760 1030580 1029720 1029660 1015270 1030080 1029730 1030020 1029060 1028660 1026970 1028020 1030090 1033380 1030880 1030250 1018750 1030630 1029940 1029690 1030590 1031250 1029370 1029960 1029620 1032910 1030680 1029140 1022860 1029050 1029400 1030630 1028150 1028350 1029190 1028050 1028150 1032810 1027390 1028080 1026920 1026510 1028310 1029720 1027490 1027150 1028300 1027860 1027220 1034390 1027090 1027480 1028050 1014580 
